Instrument ID;Calendar ID;Segment Code;Post Trade Parameters ID;Price Tick Table ID;ISIN Code;Deletion Date;First Trading Date;Instrument Status;Clearing Type;Delete Orders at EOD;Exchange Market Size;Pre-Trade LIS Value (Currency);Minimum Order Size;Last Trading Day;Lot Size;Security Type;TIDM;Description;SEDOL;ADT (EUR);Currency;Bid Status;DOL Indicator;DOL Section Number;Expiry Source;Issuer Code;Issuer Name;Normal Market Size;Ratio;Settlement Type;Standard Market Size;Instrument Name;DOL Symbol;Unit of Quotation;Max Spread Floor;Max Spread Percentage;Country of Register;Covered Warrant Strike Price;Covered Warrant Expiry;Sector;Multicast ID;Covered Warrant Strike Currency;Covered Warrant Type;Covered Warrant Style;Reference Price;Market ID;Visibility;Mifir Identifier;Mifir Subclass;Static Reference Price Collar Percentage;Dynamic Reference Price Collar Percentage ;Liquid;ADT (Currency);ADNT;RPW Allowed;FISN;Max Order Value Lit (Currency);Max Order Value Dark (Currency);Notional Currency ;Price Notation;Denominated Par Value;Max Order Value Lit Auctions (Currency)
GALPu;PT;PT;Normal;2000_9000;PTGAL0AM0009;;20190708;0;1;1;;500000;;;1;EQ;;GALP ENERGIA SGPS SA;;87983674.47;EUR;;;;;;;;;;;;;;;;;;;;6;;;;12.83;XLIS;B;SHRS;;25;5;Y;87983674.47;3133.13386;Y;GALP ENERG SGPS/AC 1;20000000;200000000;;MONE;;200000000
GLINTu;PT;PT;Normal;_10;PTPAD0AM0007;;20190708;0;1;1;;15000;;;1;EQ;;GLINTT - GLOBAL INTELLIGENT;;1637.64;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.15;XLIS;B;SHRS;;30;10;N;1637.64;3.86221;Y;GLINTT SA/AC 1;20000000;200000000;;MONE;;200000000
IBSu;PT;PT;Normal;10_80;PTIBS0AM0008;;20190708;0;1;1;;60000;;;1;EQ;;IBERSOL SGPS SA;;155911.71;EUR;;;;;;;;;;;;;;;;;;;;6;;;;8.26;XLIS;B;SHRS;;30;10;N;155911.72;31.80709;Y;IBERSOL SGPS/AC 1;20000000;200000000;;MONE;;200000000
INAPu;PT;PT;Normal;_10;PTINA2VP0019;;20190708;0;1;1;;15000;;;1;EQ;;INVESTIMENTOS PARTICIP G-PFD;;21.57;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.051;XLIS;B;SHRS;;30;10;N;21.58;.07087;Y;INAPA SA/AC PF S V NV NPV;20000000;200000000;;MONE;;200000000
INAu;PT;PT;Normal;10_80;PTINA0AP0008;;20190708;0;1;1;;15000;;;1;EQ;;INVESTIMENTOS PARTICIP GESTA;;11297.29;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.05;XLIS;B;SHRS;;30;10;N;11297.3;13.46063;Y;INAPA SA/AC NPV;20000000;200000000;;MONE;;200000000
IPRu;PT;PT;Normal;10_80;PTIPR0AM0000;;20190708;0;1;1;;30000;;;1;EQ;;IMPRESA SGPS SA;;53090.57;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.229;XLIS;B;SHRS;;30;10;N;53090.58;44.05512;Y;IMPRESA SGPS/AC .5;20000000;200000000;;MONE;;200000000
JMTu;PT;PT;Normal;2000_9000;PTJMT0AE0001;;20190708;0;1;1;;400000;;;1;EQ;;JERONIMO MARTINS;;45422278.72;EUR;;;;;;;;;;;;;;;;;;;;6;;;;14.435;XLIS;B;SHRS;;25;5;Y;45422278.72;2158.6063;Y;JERON MART SGPS/AC 1;20000000;200000000;;MONE;;200000000
LIGu;PT;PT;Normal;_10;PTLIG0AE0002;;20190708;0;1;1;;15000;;;1;EQ;;LISGRAFICA-IMPRESSAO E ARTES;;278.93;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.0085;XLIS;B;SHRS;;30;10;N;278.94;1.74016;Y;LISGRAFICA SA/AC .05;20000000;200000000;;MONE;;200000000
MARu;PT;PT;Normal;10_80;PTMFR0AM0003;;20190708;0;1;1;;15000;;;1;EQ;;MARTIFER SGPS SA;;17832.82;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.418;XLIS;B;SHRS;;30;10;N;17832.83;20.32284;Y;MARTIFER SGPS/AC .5;20000000;200000000;;MONE;;200000000
MCPu;PT;PT;Normal;_10;PTGMC0AM0003;;20190708;0;1;1;;15000;;;1;EQ;;GRUPO MEDIA CAPITAL SGPS;;308.06;EUR;;;;;;;;;;;;;;;;;;;;6;;;;1.89;XLIS;B;SHRS;;30;10;N;308.06;.19292;Y;GR MEDIA CAP SA/AC 1.06;20000000;200000000;;MONE;;200000000
